villageid,villagename,acid
308011,Enkok,308
308012,Envelbwavi,308
308013,Kutan,308
308014,Lebetabok,308
308015,Lebor,308
308016,Lebundog,308
308017,Ledunsivi,308
308018,Lekal,308
308019,Lekatraba,308
308020,Lemamleke,308
308021,Lematete,308
308022,Lemelang,308
308023,Lenga,308
308024,Leni,308
308025,Leravinanposvi,308
308026,Lesarintemwat,308
308027,Lesasa,308
308028,Levelkaak,308
308029,Levilhi,308
308030,Lewakabet,308
308031,Libetalalak,308
308032,Libwipeta,308
308033,Lihiwuk,308
308034,Madong,308
308035,Mbenka,308
308036,Melerep,308
308037,Metabwabara,308
308038,Metenemie,308
308039,Namaram,308
308040,Naruwa,308
308041,Nasa,308
308042,Netis,308
308043,Niwi,308
308044,Nokonbongelan,308
308045,Nokonkulkul,308
308046,Nokonmemeh,308
308047,Nokonraboga,308
308048,Nokontangbwi,308
308049,Nokontawen,308
308050,Raton,308
308051,Saenawar,308
308052,Taberan,308
308053,Tanbok,308
308054,Tapikanga,308
308055,Tasvarongo,308
308056,Topikanga,308
308057,Tosi,308
308058,Unvene,308
308059,Vanaar,308
308060,Vanbugelan,308
308061,Vankasi,308
308062,Vankaviala,308
308063,Vanmwelamwela,308
308064,Vanrewerep,308
308065,Vanvalkaro,308
308066,Vasalal,308
308067,Vasba,308
308068,Vilel,308
308069,Wanbukelan,308
308070,Wanlegok,308
308071,Wasak,308
308072,Watabwek,308
308073,Wolingan,308
308074,Wotip,308
308075,Wujunmwel,308
999929,Other Village,308
309001,Banmit,309
309002,Bines,309
309003,Bulhak,309
309004,Bwaga,309
309005,Ebwelip,309
309006,Gun,309
309008,Ilamre,309
309009,Kowi,309
309010,Kulbaga,309
309011,Kumreut,309
309012,Labakla,309
309013,Lalmamring,309
309014,Lalvetaes,309
309015,Lalwok,309
309016,Lalwuk,309
309017,Lebathi,309
309018,Lebetamit,309
309019,Lebujidem,309
